"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"102822-10521453","102822-Mo-Su","102822-126","Bingerville","","0","","102822-10521452","0","0"
"102822-10521453","102822-Mo-Su","102822-127","Adjame Agban","","1","","102822-10521451","0","0"
"102822-10628612","102822-Mo-Su","102822-128","Saint Jean","","0","","102822-10628610","0","0"
"102822-10628612","102822-Mo-Su","102822-129","Riviera 2","","1","","102822-10628611","0","0"
"102822-10185169","102822-Mo-Su","102822-13","Adjamé gare en haut","","1","","102822-10185168","0","0"
"102822-10628718","102822-Mo-Su","102822-130","Angré Château","","0","","102822-10628717","0","0"
"102822-10628718","102822-Mo-Su","102822-131","Saint Jean","","1","","102822-10628716","0","0"
"102822-10628857","102822-Mo-Su","102822-132","Saint Jean","","0","","102822-10628855","0","0"
"102822-10628857","102822-Mo-Su","102822-133","Angré Pétro Ivoire","","1","","102822-10628856","0","0"
"102822-10647547","102822-Mo-Su","102822-134","Vridi Cité","","0","","102822-10647546","0","0"
"102822-10647547","102822-Mo-Su","102822-135","Marché de Port-Bouët","","1","","102822-10647545","0","0"
"102822-10647596","102822-Mo-Su","102822-136","Vridi Canal","","0","","102822-10647595","0","0"
"102822-10647596","102822-Mo-Su","102822-137","Marché de Port-Bouët","","1","","102822-10647594","0","0"
"102822-10647737","102822-Mo-Su","102822-138","Marché de Port-Bouët","","0","","102822-10647736","0","0"
"102822-10647737","102822-Mo-Su","102822-139","Anani","","1","","102822-10647735","0","0"
"102822-10185403","102822-Mo-Su","102822-14","Adjamé gare en haut","","0","","102822-10186002","0","0"
"102822-10651885","102822-Mo-Su","102822-140","Bc","","0","","102822-10651884","0","0"
"102822-10651885","102822-Mo-Su","102822-141","Abobo Gare","","1","","102822-10651883","0","0"
"102822-10651976","102822-Mo-Su","102822-142","Ndotre","","0","","102822-10651975","0","0"
"102822-10651976","102822-Mo-Su","102822-143","Abobo Gendarmerie","","1","","102822-10651974","0","0"
"102822-10653426","102822-Mo-Su","102822-144","Biabou","","0","","102822-10653425","0","0"
"102822-10653426","102822-Mo-Su","102822-145","Abobo Gare","","1","","102822-10653424","0","0"
"102822-10653562","102822-Mo-Su","102822-146","Houphouet-Boigny","","0","","102822-10653561","0","0"
"102822-10653562","102822-Mo-Su","102822-147","Abobo Gare","","1","","102822-10653560","0","0"
"102822-10653808","102822-Mo-Su","102822-148","Angré Petro Ivoire","","0","","102822-10653807","0","0"
"102822-10653808","102822-Mo-Su","102822-149","Abobo Gare","","1","","102822-10653806","0","0"
"102822-10185403","102822-Mo-Su","102822-15","Attoban Camp","","1","","102822-10185402","0","0"
"102822-10653984","102822-Mo-Su","102822-150","Abobo Azur Mobil","","0","","","0","0"
"102822-10653984","102822-Mo-Su","102822-151","Palmeraie","","1","","102822-10653982","0","0"
"102822-10669276","102822-Mo-Su","102822-152","Terminus 81-82","","0","","102822-10669275","0","0"
"102822-10669276","102822-Mo-Su","102822-153","Palmeraie","","1","","102822-10669274","0","0"
"102822-10670070","102822-Mo-Su","102822-154","Port de Pêche","","0","","102822-10670069","0","0"
"102822-10670070","102822-Mo-Su","102822-155","Marché de Port-Bouët","","1","","102822-10670068","0","0"
"102822-10670151","102822-Mo-Su","102822-156","Carrefour Aéroport","","0","","102822-10670149","0","0"
"102822-10670151","102822-Mo-Su","102822-157","Aéroport","","1","","102822-10670150","0","0"
"102822-10672696","102822-Mo-Su","102822-158","Terminus 05","","0","","102822-10672695","0","0"
"102822-10672696","102822-Mo-Su","102822-159","Koumassi grand marché","","1","","102822-10672694","0","0"
"102822-10185406","102822-Mo-Su","102822-16","Abobo PK 18","","0","","102822-10185404","0","0"
"102822-10676982","102822-Mo-Su","102822-160","Koumassi grand marché","","0","","102822-10676980","0","0"
"102822-10676982","102822-Mo-Su","102822-161","Ancien Koumassi","","1","","102822-10676981","0","0"
"102822-10677072","102822-Mo-Su","102822-162","Anoumabo sans fil","","0","","102822-10677070","0","0"
"102822-10677072","102822-Mo-Su","102822-163","Koumassi grand marché","","1","","102822-10677071","0","0"
"102822-10677135","102822-Mo-Su","102822-164","Koumassi grand marché","","0","","102822-10677133","0","0"
"102822-10677135","102822-Mo-Su","102822-165","Koumassi campement","","1","","102822-10677134","0","0"
"102822-10677516","102822-Mo-Su","102822-166","Soweto","","0","","102822-10677515","0","0"
"102822-10677516","102822-Mo-Su","102822-167","Koumassi grand marché","","1","","102822-10677514","0","0"
