"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"102822-NODE/10293232215","","Carrefour Garage","","5.33802","-3.923232","","","0","","","0","",""
"102822-NODE/10293232216","","Oribat","","5.339556","-3.92278","","","0","","","0","",""
"102822-NODE/10293232217","","Carrefour Sicta","","5.342329","-3.922035","","","0","","","0","",""
"102822-NODE/10293232218","","Carrefour Beceao","","5.344725","-3.922437","","","0","","","0","",""
"102822-NODE/10293232219","","Garba Choco","","5.346773","-3.922902","","","0","","","0","",""
"102822-NODE/10293232220","","Gare Nouveau Goudron","","5.347395","-3.923027","","","0","","","0","",""
"102822-NODE/10293232221","","Comzone","","5.348207","-3.923204","","","0","","","0","",""
"102822-NODE/10293232222","","Pancho","","5.34952","-3.923508","","","0","","","0","",""
"102822-NODE/10293232223","","Carrefour Cyber","","5.350213","-3.923676","","","0","","","0","",""
"102822-NODE/10293232224","","Carrefour Veninzoir","","5.351724","-3.924038","","","0","","","0","",""
"102822-NODE/10293232225","","Carrefour Coquivoire","","5.353246","-3.92438","","","0","","","0","",""
"102822-NODE/10293232226","","Carrefour Lapin","","5.354715","-3.924685","","","0","","","0","",""
"102822-NODE/10293232227","","Carrefour Drogba","","5.355531","-3.924881","","","0","","","0","",""
"102822-NODE/10293232228","","AB Center","","5.358136","-3.925481","","","0","","","0","",""
"102822-NODE/10293232229","","Sodeci Abatta","","5.359554","-3.925871","","","0","","","0","",""
"102822-NODE/10293232230","","Prumux","","5.360649","-3.926155","","","0","","","0","",""
"102822-NODE/10293232231","","Carrefour Lumière","","5.36162","-3.926416","","","0","","","0","",""
"102822-NODE/10293232232","","Ferronnerie","","5.363799","-3.927002","","","0","","","0","",""
"102822-NODE/10293232233","","Carrefour Policier","","5.366653","-3.927771","","","0","","","0","",""
"102822-NODE/10293232234","","Gare Nouveau Goudron","","5.370316","-3.928777","","","0","","","0","",""
"102822-NODE/10293246985","","Terminus Nouveau Goudron","","5.371661","-3.928917","","","0","","","0","",""
"102822-NODE/10293246987","","Carrefour El vivo","","5.368766","-3.928119","","","0","","","0","",""
"102822-NODE/10293246988","","Carrefour Policier","","5.366683","-3.927547","","","0","","","0","",""
"102822-NODE/10293246989","","Ferronnerie","","5.36384","-3.926824","","","0","","","0","",""
"102822-NODE/10293246990","","Carrefour Lumière","","5.361798","-3.926286","","","0","","","0","",""
"102822-NODE/10293246991","","Prumux","","5.36065","-3.925987","","","0","","","0","",""
"102822-NODE/10293246992","","AB Center","","5.357832","-3.925235","","","0","","","0","",""
"102822-NODE/10293246993","","Carrefour Drogba","","5.355341","-3.924635","","","0","","","0","",""
"102822-NODE/10293246994","","Carrefour Lapin","","5.354567","-3.924454","","","0","","","0","",""
"102822-NODE/10293246995","","Carrefour Mosquée","","5.35306","-3.924116","","","0","","","0","",""
"102822-NODE/10293246996","","Carrefour Veninzoir","","5.351666","-3.923827","","","0","","","0","",""
"102822-NODE/10293246997","","Carrefour Cyber","","5.350352","-3.923523","","","0","","","0","",""
"102822-NODE/10293246998","","Pancho","","5.349805","-3.923379","","","0","","","0","",""
"102822-NODE/10293246999","","Bananier","","5.349059","-3.923212","","","0","","","0","",""
"102822-NODE/10293247000","","Comzone","","5.34827","-3.923047","","","0","","","0","",""
"102822-NODE/10293247001","","Mondial Beton","","5.347542","-3.922862","","","0","","","0","",""
"102822-NODE/10293247002","","Carrefour le blanc","","5.343969","-3.922084","","","0","","","0","",""
"102822-NODE/10293247003","","Carrefour Sicta","","5.342181","-3.921863","","","0","","","0","",""
"102822-NODE/10293247004","","Oribat","","5.339531","-3.922619","","","0","","","0","",""
"102822-NODE/10293247005","","Carrefour Garage","","5.337685","-3.923126","","","0","","","0","",""
"102822-NODE/10293247006","","Miami beach","","5.332295","-3.92242","","","0","","","0","",""
"102822-NODE/10293247007","","Carrefour Pinasse","","5.3281","-3.922094","","","0","","","0","",""
"102822-NODE/10293247008","","Gare Abatta Village","","5.328297","-3.916737","","","0","","","0","",""
"102822-NODE/10293290885","","Au Lavage","","5.351531","-3.975485","","","0","","","0","",""
"102822-NODE/10293290887","","Pharmacie Saint-Pierre des Rosées","","5.353942","-3.957691","","","0","","","0","",""
"102822-NODE/10293290888","","Bon Pasteur","","5.351081","-3.954397","","","0","","","0","",""
"102822-NODE/10293290889","","Lycée Américain","","5.347975","-3.952781","","","0","","","0","",""
"102822-NODE/10293290890","","Mel Théodore","","5.345521","-3.952473","","","0","","","0","",""
"102822-NODE/10293290891","","Brandon","","5.34109","-3.952229","","","0","","","0","",""
"102822-NODE/10293312731","","Ancien Terminus M'pouto","","5.330909","-3.95717","","","0","","","0","",""
"102822-NODE/10293312732","","Chantier","","5.330288","-3.955159","","","0","","","0","",""
"102822-NODE/10293312733","","Coqivoire","","5.329891","-3.953956","","","0","","","0","",""
"102822-NODE/10293312734","","Mosquee Ciad","","5.329027","-3.951249","","","0","","","0","",""
"102822-NODE/10293312735","","Pharmacie M'Pouto","","5.328425","-3.949083","","","0","","","0","",""
"102822-NODE/10293312736","","Pharmacie Eden","","5.328458","-3.943664","","","0","","","0","",""
"102822-NODE/10293312738","","Vatican","","5.328441","-3.942799","","","0","","","0","",""
"102822-NODE/10293312739","","Panier d'Or","","5.335205","-3.944168","","","0","","","0","",""
"102822-NODE/10293312740","","Carrefour Antenne","","5.340283","-3.945263","","","0","","","0","",""
"102822-NODE/10293312741","","Cité Belles Fleurs Riviera 3","","5.346354","-3.952746","","","0","","","0","",""
"102822-NODE/10293312742","","Lycée Américain","","5.348255","-3.953115","","","0","","","0","",""
"102822-NODE/10293312743","","Ancien Garage","","5.3499","-3.954476","","","0","","","0","",""
"102822-NODE/10293312745","","Pharmacie St Agathe","","5.355237","-3.960981","","","0","","","0","",""
"102822-NODE/10293312746","","Cap Nord","","5.355279","-3.966932","","","0","","","0","",""
"102822-NODE/10293312747","","Sainte Famille","","5.353417","-3.968197","","","0","","","0","",""
